"Product SKU";"Product Name";"Price";"Quantity";"marka";"god"
8055;"RK8055";1520;107;"FORD FOCUS";"1998-2011"
8054;"RK8054";1420;45;"LAND ROVER DISCOVERY III";"2004-2009"
8053;"RK8053";1360;58;"CHRYSLER VOYAGER IV";"1999-2008"
8052;"RK8052";1360;55;"CHRYSLER VOYAGER III";"1995-2001"
8051;"RK8051";1280;117;"VW GOLF III";"1991-1999"
8050;"RK8050";1280;115;"VW PASSAT B3";"1988-1994"
8049;"RK8049";1320;27;"MITSUBISHI SPACE WAGON";"1997-2004"
8048;"RK8048";1320;30;"MITSUBISHI LANCER";"2000-2015"
8047;"RK8047";1320;29;"MITSUBISHI DION";"1999-2005"
8046;"RK8046";1320;33;"MITSUBISHI CHARIOT";"1997-2003"
8045;"RK8045";1320;41;"MITSUBISHI OUTLANDER";"2001-2008"
8044;"RK8044";1320;37;"MITSUBISHI AIRTREK";"2001-2005"
8043;"RK8043";1480;81;"MERCEDES VITO (W638)";"1996-2003"
8042;"RK8042";1340;98;"BMW 5 ( E39 )";"1995-2003"
8041;"RK8041";1360;35;"VOLVO XC90";"2002-2014"
8040;"RK8040";1480;108;"MERCEDES SPRINTER";"1995-2006"
8039;"RK8039";1380;83;"VW TRANSPORTER V";"2003-2015"
8038;"RK8038";1360;113;"VW TRANSPORTER IV";"1990-2003"
8037;"RK8037";1320;51;"HONDA RIDGELINE";"2005-2013"
8036;"RK8036";1380;48;"TOYOTA HILUX";"2005-2015"
8035;"RK8035";1360;37;"TOYOTA HIGHLANDER";"2000-2007"
8034;"RK8034";1380;55;"LEXUS GS II";"1997-2005"
8033;"RK8033";1340;38;"LEXUS LS400 II";"1994-2000"
8032;"RK8032";1380;94;"MERCEDES E ( W210 )";"1995-2002"
8031;"RK8031";1300;85;"HYUNDAI SANTA FE";"2000-2006"
8030;"RK8030";1380;33;"SUBARU LEGASY III";"1998-2003"
8029;"RK8029";1340;24;"MITSUBISHI DELICA";"1994-2006"
8028;"RK8028";1420;55;"FORD TRANSIT V";"1994-2000"
8027;"RK8027";1420;61;"FORD TRANSIT IV";"1991-1994"
8026;"RK8026";1320;53;"RENAULT TRAFIC II";"2001-2014"
8025;"RK8025";1320;38;"OPEL VIVARO";"2001-2014"
8024;"RK8024";1360;58;"MITSUBISHI MONTERO IV";"2006-2015"
8023;"RK8023";1360;44;"MITSUBISHI PAJERO IV";"2006-2015"
8022;"RK8022";1340;37;"OPEL FRONTERA B";"1998-2004"
8021;"RK8021";1380;54;"RENAULT SYMBOL";"1998-2009"
8020;"RK8020";1380;61;"RENAULT CLIO II";"1998-2009"
8019;"RK8019";1360;49;"FORD GALAXY";"1995-2006"
8018;"RK8018";1360;45;"VW SHARAN";"1995-2010"
8017;"RK8017";1380;38;"HAMMER H3";"2005-2010"
8016;"RK8016";1340;67;"SKODA OKTAVIA";"1996-2010"
8015;"RK8015";1340;84;"VW GOLF IV";"1997-2006"
8014;"RK8014";1280;62;"BMW 3 ( E36 )";"1990-1999"
8013;"RK8013";1360;58;"NISSAN PRIMERA ( WP12 )";"2002-2015"
8012;"RK8012";1360;76;"NISSAN PRIMERA ( P12 )";"2001-2007"
8011;"RK8011";1380;44;"KIA SPECTRA";"2001-2004"
8010;"RK8010";1340;65;"AUDI A4 (KOYO)";"2000-2004"
8009;"RK8009";1380;74;"AUDI A4 (ZF)";"2000-2004"
8008;"RK8008";1320;58;"CHEVROLET LACETTI";"2003-2014"
8007;"RK8007";1340;24;"FORD EXPLORER";"1994-2003"
8006;"RK8006";1300;45;"OPEL ZAFIRA";"1998-2005"
8005;"RK8005";1320;35;"FORD TRANSIT";"2000-2006"
