"sku",,"name","price","kol","size","tip","tcs"
1156,1256,"F-00057XA",95,50,"27.5*39.6*8","7V2","P55554"
1155,1255,"F-00022XA",95,95,"27.5*39.6*8","7V2","P55554"
1154,1254,"F-00444XA",95,100,"31.5*44.5*8","7V2","P55553"
1153,1253,"F-00587XA",95,100,"30.5*43*7","7V2","P55552"
1152,1252,"F-00458",60,100,"30*42*7/8","1PM","P10786"
1151,1251,"F-00594",120,110,"29*40*8","7V2","P55533"
1150,1250,"F-01113",95,499,"36*44*6",12,"P11393"
1149,1249,"F-01347",95,499,"35*55*8.5","7V1","P11383"
1148,1248,"F-00211X",95,298,"31.5*40*5",12,"P11308"
1147,1247,"F-00786",60,249,"29*39*5.6/6","1PM","P05369"
1146,1246,"F-00786X",60,250,"28.5*39*5.6/6","1PM","P05369"
1145,1245,"F-01340",60,299,"28*38.3*5/5.8","1PM","P11100"
1144,1244,"F-00798",95,499,"27.7*42*13/14","7V1PM","P11383"
1143,1243,"F-01344",95,499,"25*42.6*8","7V1","P11385"
1142,1242,"F-00070",95,491,"25*38.2*7","7V1","P11384"
1141,1241,"F-01332",60,498,"24*35.4*6.5","0M","P11387"
1140,1240,"F-00815",60,498,"20.5*46*3.3/5","8A","P11390"
1139,1239,"F-01171",60,498,"20*32*7/9.4","0PM","P11014"
1138,1238,"F-00109X",60,493,"19.5*42.5*7/7.8","1PM","P11388"
1137,1237,"F-00368X",60,80,"18.5*34.6*6.2/9.2","1PM","P11389"
1136,1236,"F-00561X",60,80,"18.5*34.6*6.2/9.2","1PM","P11389"
1135,1235,"F-00868X",60,80,"18.5*34.6*6.2/9.2","1PM","P11389"
1134,1234,"F-00849X",60,79,"18.5*34.6*6.2/9.2","1PM","P11389"
1133,1233,"F-00037X",60,80,"18.5*34.6*6.2/9.2","1PM","P11389"
1132,1232,"F-00011X",60,78,"18.5*34.6*6.2/9.2","1PM","P11389"
1131,1231,"F-00041",60,498,"14.6*35*4.7","3A","P11391"
